"Age","Gender","Latitude","Longitude","PSAI_M","PSAI_F","PSAI_Total","Mtoy","Ftoy","BEM_Masc","BEM_Fem"
32,1,27.70199585,-97.3423996,36,18,68.05,2.5,1,4.1,3.95
34,1,30.45640564,-97.69380188,42,22,70.25,3,2.33,5.05,4.65
32,1,30.6743927,-96.37000275,34,29,53.75,2.75,1.67,4.5,4.4
30,1,40.30360413,-92.0734024,53,35,68.05,4.25,3,6,4.25
19,1,31.62860107,-97.09889984,58,14,96.65,4.5,1,6.25,3.85
46,1,30.39190674,-87.34960175,57,22,86.75,4.75,1,3.37,4.15
31,1,41.00990295,-74.00730133,38,28,59.25,2.75,2.33,3.75,4.25
32,1,12.98330688,77.58331299,44,44,48.25,3.25,3.33,6,5.95
54,1,41.01460266,-81.44439697,49,15,85.65,3.75,1,6.4,4.6
25,1,39.12660217,-123.2805023,46,20,76.85,3.5,1.67,3.7,4.05
27,1,42.92939758,-85.54560089,27,23,52.65,2.5,2.33,5.5,4.79
32,1,42.59080505,-71.80549622,40,31,58.15,3,2,3.2,4.35
27,1,34.77420044,-92.15540314,32,33,47.15,2.25,2,3.9,3.65
27,1,32.76629639,-117.129303,32,29,51.55,2,2,3.9,4.35
38,1,33.94940186,-116.9775009,43,31,61.45,4,2.33,4.35,5.45
40,1,42.10319519,-88.06990051,42,18,74.65,3,1,5.4,3.9
34,1,35.04649353,-85.31430054,46,27,69.15,3.75,1.33,4.8,5.15
22,1,34.52000427,-118.0834961,45,21,74.65,4,1,5.25,4.45
21,1,40.73910522,-73.98259735,36,19,66.95,2.5,1,4,4
32,1,43.42359924,-84.22080231,39,22,66.95,3.5,2,4,4.3
36,1,37.86680603,-122.2536011,41,30,60.35,2.5,2.33,6.3,3.95
48,1,13.7539978,100.5014038,50,18,83.45,3.75,1.33,5.25,4.7
47,1,47.60620117,-122.3320999,34,20,63.65,2.5,1.33,4,3.5
37,1,34.26620483,-85.11589813,48,29,69.15,4,2,5.3,4.5
23,1,41.56640625,-93.7405014,47,17,81.25,3.5,1,5.4,4.2
28,1,42.34579468,-71.55059814,43,20,73.55,3.75,1.33,4.9,4.2
41,1,40.59820557,-83.14250183,46,19,77.95,2.75,1,4.8,4.8
35,1,42.92080688,-83.47949982,32,22,59.25,3.25,1.67,4.75,5.3
28,1,33.66760254,-84.0177002,26,17,58.15,1.75,1,4.9,4.2
34,1,32.42500305,-99.79759979,14,21,40.55,1.25,1,5.65,3.65
33,1,21.16670227,-86.83329773,49,22,77.95,3.75,1,4.9,3.7
18,1,42.55839539,-71.26899719,42,20,72.45,3.5,1,4.1,3.5
20,1,40.99240112,-85.78440094,38,16,72.45,3.25,1,4.65,3.7
22,1,43.84770203,-84.02249908,19,13,54.85,1.75,1,3.8,4.25
29,1,45.5171051,-122.6801987,39,26,62.55,3,1.33,5.05,5
23,1,40.79750061,-77.90209961,29,19,59.25,1.25,1.33,4.75,4.35
26,1,30.19909668,-96.38780212,36,20,65.85,2.75,1,5.7,4.55
24,1,42.39079285,-71.09249878,40,21,69.15,2.75,1.33,4.2,3.85
22,1,42.40190125,-71.11930084,47,30,66.95,3.75,2,4.7,4.5
27,1,33.75160217,-84.39150238,27,31,43.85,1.75,2,5,5.1
32,1,37.24380493,-76.72750092,35,22,62.55,3.5,1,4.15,4
22,1,40.707901,-111.8554993,47,19,79.05,3.5,1,5.9,4.6
24,1,40.61520386,-75.54370117,39,19,70.25,2.5,1,3.55,3.9
37,1,38.63529968,-90.66729736,45,34,60.35,3.5,2.67,5.3,5
31,1,40.69900513,-80.03340149,36,21,64.75,2.75,1,4.45,4.15
28,1,39.24299622,-81.57720184,51,23,79.05,3.75,1.33,6.26,4.7
31,1,41.65769958,-72.66269684,42,26,65.85,3,1.33,5.15,4.35
25,1,41.69250488,-86.14479828,19,15,52.65,1,1,5.15,4.65
28,1,38.68609619,-121.4568024,30,19,60.35,1.25,1,6,6.1
44,1,39.08979797,-77.06109619,50,17,84.55,3.75,1,3.9,4.05
25,1,45.19490051,-123.2465973,53,20,84.55,4.5,1.33,3.65,3.7
62,1,32.92990112,-96.83529663,48,15,84.55,3.75,1,5.45,3.8
47,1,38,-97,56,22,85.65,4.75,1,5.55,3.6
43,1,39.2447052,-84.34729767,44,30,63.65,4,2.33,4.74,4.65
25,1,40.084198,-82.93779755,37,20,66.95,3.25,1.33,3.3,3.8
24,1,42.82569885,-71.67369843,40,28,61.45,3.5,1.67,4.4,4.5
42,1,43.49609375,-70.48860168,57,25,83.45,4.25,2,5.35,4.45
34,1,41.87449646,-87.65029907,43,16,77.95,2.5,1.67,6.25,4.45
43,1,38.02810669,-87.51190186,53,19,85.65,3.75,1,5.8,3.8
43,1,37.97079468,-87.48970032,54,14,92.25,3.75,1,5.85,4.35
32,1,38.88650513,-77.09690094,48,19,80.15,3.25,1,4.85,4.3
28,1,33.10920715,-87.53919983,50,19,82.35,4,1,5.75,4.85
28,1,36.14430237,-115.2794037,38,24,63.65,2.5,1,4,4
28,1,40.61000061,-73.91079712,48,30,68.05,4.25,2,4.6,4.35
51,1,27.63490295,-97.31289673,41,17,74.65,3.25,1,4.9,4.25
28,1,33.62379456,-112.0511017,39,22,66.95,3.75,1.33,3.55,4.55
32,1,33.49119568,-111.9236984,47,21,76.85,3,1.67,5.8,4.15
30,1,29.957901,-91.87210083,24,20,52.65,1.25,1.33,4,4
22,1,38.3032074,-77.46050262,21,19,50.45,1.75,1,5.5,5.75
37,1,33.94940186,-116.9775009,46,29,66.95,3.5,2.33,4.65,5.2
36,1,42.2250061,-71.53150177,41,27,63.65,3.25,1,5,4.2
24,1,39.36700439,-76.67189789,46,16,81.25,3,1,5.3,3.8
32,1,29.92149353,-81.37850189,28,21,55.95,2.5,1.33,3.9,5.65
30,1,30.334198,-81.58229828,37,18,69.15,3.75,1.33,5.05,3.95
23,1,42.55599976,-83.11779785,28,20,57.05,1.25,1.33,4.15,4.6
24,1,34.83149719,-87.66639709,40,18,72.45,3.75,1,4.6,4.84
22,1,28.49130249,-81.40969849,41,16,75.75,2.75,1,2.65,3.55
68,1,37.55220032,-77.45819855,40,27,62.55,3.5,2.33,5.15,4.45
32,1,39.88900757,-84.229599,41,18,73.55,2.75,1,3.65,4.55
56,1,37.84629822,-93.99510193,54,15,91.15,4.25,1,5.26,4.5
58,1,41.60920715,-71.17440033,42,18,74.65,3.5,1,4.95,3.75
35,1,45.5144043,-122.6432953,42,24,68.05,2.75,1.33,6,6
23,1,33.6638031,-84.73310089,35,16,69.15,3,1,4.15,3.8
